"No.","Time","Source","Destination","Protocol","Length","Info"
"76","0.412870486","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:62422, 2.04 Changed, TKN:12 a7 e7 28 fd 99 0c a5, /hello_post"
"78","0.448444141","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:26798, 4.05 Method Not Allowed (text/plain), TKN:4f 80 0c 96 66 39 43 cd, /5"
"512","6.247531080","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:27951, 4.05 Method Not Allowed (text/plain), TKN:53 5b 38 4c f9 91 30 ac, /4"
"3722","26.355707440","134.102.218.18","10.0.2.15","CoAP","69","ACK, MID:33247, 2.01 Created, TKN:2c b6 43 60 bc 47 68 1c, /large-create"
"4343","39.303036547","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:26427, 4.05 Method Not Allowed (text/plain), TKN:74 04 23 28 32 00 e9 73, /broken"
"4474","43.298484612","127.0.0.1","127.0.0.1","CoAP","73","ACK, MID:48566, 2.02 Deleted, TKN:69 17 13 95 08 57 cb de, /main_door"
"4475","43.340957148","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:20240, 4.05 Method Not Allowed (text/plain), TKN:a1 71 73 e0 f1 89 b1 af, /separate"
"4569","48.329837392","134.102.218.18","10.0.2.15","CoAP","64","ACK, MID:47966, 2.04 Changed (text/plain), TKN:3b f2 2b 42 c1 e5 a1 91, /sink"
"4609","50.369684964","134.102.218.18","10.0.2.15","CoAP","95","ACK, MID:7018, 2.01 Created (text/plain), TKN:1e 6d 72 c3 88 f0 94 fd, /sink"
"4635","52.385908714","134.102.218.18","10.0.2.15","CoAP","198","ACK, MID:10541, 2.05 Content, TKN:c6 f7 42 35 d5 99 8a 9a, Block #0, /3"
"4639","52.430099308","134.102.218.18","10.0.2.15","CoAP/JSON","111","ACK, MID:10542, 2.05 Content, JSON (application/json), TKN:c6 f7 42 35 d5 99 8a 9a, End of Block #1, /3"
"4748","59.401093248","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:51725, 4.05 Method Not Allowed (text/plain), TKN:d4 05 67 28 cc e3 e4 b9, /seg1"
"4766","61.337842071","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:41043, 4.05 Method Not Allowed (text/plain), TKN:e2 92 16 2f 7c 5d 8f 41, /location1"
"4780","62.447651797","134.102.218.18","10.0.2.15","CoAP","92","ACK, MID:42177, 2.05 Content (text/plain), TKN:1f 87 7c 78 77 86 98 e3, /weird44"
"5012","77.349196990","127.0.0.1","127.0.0.1","CoAP","77","ACK, MID:49581, 4.00 Bad Request (text/plain), TKN:9c 60 12 5e 68 51 6d f2, /living_room"
"5014","77.367166520","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:19648, 4.04 Not Found, TKN:0f 59 12 cf e7 e6 b0 46, /main_door"
"5022","78.271045373","127.0.0.1","127.0.0.1","CoAP","70","ACK, MID:38250, 2.05 Content, TKN:56 19 4c 7d cd c6 7a 21, /living_room"
"5026","78.402158020","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:13637, 4.05 Method Not Allowed (text/plain), TKN:d9 d8 a0 16 48 f7 b4 ed, /weird55"
"5097","81.327892249","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:63856, 4.05 Method Not Allowed (text/plain), TKN:3f 05 e8 56 42 71 f5 d1, /weird55"
"5255","87.292444055","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:3536, 4.04 Not Found, TKN:68 17 f1 a7 50 7c de d0, /dining_room"
"5437","93.358252595","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:53278, 4.05 Method Not Allowed (text/plain), TKN:53 24 6a 8d b7 d5 3f ab, /location-query"
"5535","100.335192485","134.102.218.18","10.0.2.15","CoAP/JSON","171","ACK, MID:54140, 2.05 Content, JSON (application/json), TKN:95 b2 73 fe 7d f4 93 70, /4"
"5758","111.312209869","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:2587, 2.05 Content, TKN:00 6b f5 fd 4c 9a 9a c3, /hello_post"
"5966","120.326460148","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:38111, 4.05 Method Not Allowed, TKN:70 71 fc 77 cf 95 58 85, /test"
"5971","120.455296777","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:30549, 2.04 Changed, TKN:58 52 18 be bb fb 0e 63, /basic"
"6293","132.432269955","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:42606, 2.04 Changed, TKN:10 3c ee 30 eb b6 62 b6, /living_room"
"6295","132.461789598","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:63754, 4.04 Not Found, TKN:63 b8 24 1f 9f 8f 26 ff, /dining_room"
"6626","149.487118027","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:2875, 4.05 Method Not Allowed (text/plain), TKN:be 01 eb d7 a1 54 a6 c3, /seg1"
"6641","150.439243882","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:17886, 4.05 Method Not Allowed, TKN:72 a5 b8 40 c7 f4 08 45"
"6645","151.460161068","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:51870, 2.05 Content, TKN:9c bb 4c d5 72 5a a8 b7, /living_room"
"6726","156.433876797","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:7773, 4.04 Not Found, TKN:9b e6 70 9d 82 05 8e fc, /dining_room/door"
"6797","159.520833344","134.102.218.18","10.0.2.15","CoAP","95","ACK, MID:55094, 2.01 Created (text/plain), TKN:c5 83 a2 a2 2f 89 e7 ca, /validate"
"6859","164.492537140","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:32626, 4.05 Method Not Allowed (text/plain), TKN:00 26 35 65 0c ac c3 28, /weird33"
"6998","179.592596724","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:736, 4.05 Method Not Allowed, TKN:59 f2 74 1d 57 37 9b 54"
"7080","185.648444090","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:12277, 4.05 Method Not Allowed, TKN:0f b6 b2 63 2d 7a 36 dd, /test"
"7144","192.664948716","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:19646, 4.05 Method Not Allowed (text/plain), TKN:f3 55 4f 69 4e 1a 29 de, /weird44"
"7434","203.605589730","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:10950, 4.05 Method Not Allowed, TKN:52 a4 18 62 9b 25 3c b7, /hello_world"
"7456","206.648073033","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:55768, 4.05 Method Not Allowed (text/plain), TKN:be 8c a9 e5 66 e0 c4 3c, /seg1"
"7493","207.600681188","127.0.0.1","127.0.0.1","CoAP","62","ACK, MID:25393, 2.05 Content, TKN:3f 87 20 c7 86 39 78 1e, /test"
"7528","210.528409246","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:35570, 4.05 Method Not Allowed, TKN:74 38 a0 df be 1e 2a ff, /dining_room"
"7634","216.607066732","134.102.218.18","10.0.2.15","CoAP","198","ACK, MID:44934, 2.05 Content, TKN:1d ba f2 b5 33 a1 25 05, Block #0, /3"
"7638","216.655599780","134.102.218.18","10.0.2.15","CoAP/JSON","111","ACK, MID:44935, 2.05 Content, JSON (application/json), TKN:1d ba f2 b5 33 a1 25 05, End of Block #1, /3"
"7720","221.761660593","134.102.218.18","10.0.2.15","CoAP","198","ACK, MID:23556, 2.05 Content, TKN:cd 19 ee 82 79 f5 97 2e, Block #0, /3"
"7726","221.806652996","134.102.218.18","10.0.2.15","CoAP/JSON","111","ACK, MID:23557, 2.05 Content, JSON (application/json), TKN:cd 19 ee 82 79 f5 97 2e, End of Block #1, /3"
"7774","225.665056479","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:28579, 4.05 Method Not Allowed (text/plain), TKN:02 2e ed bc d0 65 74 e8, /weird44"
"7832","229.522683084","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:34791, 4.04 Not Found, TKN:cf de e3 35 5c b7 31 c3"
"7836","229.648337156","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:17803, 4.05 Method Not Allowed, TKN:b9 65 b6 eb 4d 60 68 17, /hello_world"
"7873","231.692314880","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:33903, 4.05 Method Not Allowed (text/plain), TKN:6a 11 ad 38 7f 0f 87 61, /hello"
"7934","234.596545778","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:60396, 4.05 Method Not Allowed (text/plain), TKN:fc ed b5 a5 aa de 31 f0, /large-create"
"7948","235.418393284","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:63021, 4.04 Not Found, TKN:37 c2 32 7d 83 9a 10 35, /basic"
"8020","241.541627946","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:15245, 4.05 Method Not Allowed (text/plain), TKN:12 c3 a3 55 1f 02 e5 61, /weird44"
"8032","242.491143327","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:4191, 4.05 Method Not Allowed (text/plain), TKN:bc fd 1e 29 3c 60 f3 bd, /5"
"8110","249.631897966","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49271, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #0, /large"
"8118","249.678707846","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49272, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #1, /large"
"8126","249.723519489","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49273, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #2, /large"
"8134","249.768217513","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49274, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #3, /large"
"8142","249.813611122","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49275, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #4, /large"
"8150","249.858201848","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49276, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #5, /large"
"8158","249.902409897","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49277, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #6, /large"
"8165","249.945329795","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49278, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #7, /large"
"8174","249.988743462","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49279, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #8, /large"
"8182","250.033142863","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49280, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #9, /large"
"8190","250.077948350","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49281, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #10, /large"
"8197","250.121955357","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49282, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #11, /large"
"8205","250.166309760","134.102.218.18","10.0.2.15","CoAP","197","ACK, MID:49283, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #12, /large"
"8214","250.210296867","134.102.218.18","10.0.2.15","CoAP","105","ACK, MID:49284, 2.05 Content, TKN:d8 b3 4c 4c 45 1e 53 3f, End of Block #13, /large"
"8288","256.572532187","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:29978, 4.04 Not Found, TKN:78 58 9c d0 0c c1 f6 73, /main_door"
"8310","258.604107968","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:49356, 4.05 Method Not Allowed, TKN:ef 3a 8a d5 9a 45 b9 41, /main_door"
"8312","258.640735171","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:817, 4.05 Method Not Allowed, TKN:38 4b fc da 33 95 87 e5, /hello_world"
"8365","261.511092656","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:276, 4.05 Method Not Allowed (text/plain), TKN:9a f9 81 fe d3 ea fb 9d, /secret"
"8369","261.576504079","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:20520, 4.05 Method Not Allowed, TKN:9f 43 d8 0a 1f a8 24 49, /living_room/temperature"
"8425","268.621724387","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:10682, 4.05 Method Not Allowed (text/plain), TKN:7c 5d 34 9c f2 43 b6 8c, /weird333"
"8472","269.499360449","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:63444, 4.05 Method Not Allowed (text/plain), TKN:6f ee 2f 22 fb ca 59 1d, /weird333"
"8604","277.710527968","134.102.218.18","10.0.2.15","CoAP","67","ACK, MID:48569, 2.02 Deleted (text/plain), TKN:2b 44 3d 64 d7 8f 02 cb, /validate"
"8761","285.517551367","134.102.218.18","10.0.2.15","CoAP","105","ACK, MID:56553, 2.05 Content (text/plain), TKN:f0 3c b9 1d 7b c3 b6 a6, /validate"
"8826","286.723781665","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:38467, 4.05 Method Not Allowed (text/plain), TKN:d1 32 11 fa db 48 ca 6b, /3"
"9101","296.628471930","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:15698, 4.05 Method Not Allowed, TKN:d7 db 48 b0 78 93 5a 67"
"9321","304.673590803","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:53777, 4.04 Not Found, TKN:45 ca c1 5b ab f2 da 2c, /basic"
"9371","308.633957872","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:31613, 4.05 Method Not Allowed, TKN:3d 9b af ce 46 41 52 c9, /test"
"9384","310.551380644","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:60909, 4.05 Method Not Allowed (text/plain), TKN:91 9f 8a 0d 44 ed 4f 38, /path"
"9465","316.692733820","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:10280, 2.02 Deleted, TKN:27 6b cb 66 ed 0d 88 d3, /living_room"
"9573","325.502145625","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:12004, 4.05 Method Not Allowed, TKN:d2 80 08 45 2c a9 41 92, /hello_world"
"9641","328.781080695","134.102.218.18","10.0.2.15","CoAP","67","ACK, MID:12920, 2.02 Deleted (text/plain), TKN:c9 f8 fb 83 2b ef 9c d4, /sink"
"9655","329.582022355","134.102.218.18","10.0.2.15","CoAP","72","ACK, MID:38178, 4.01 Unauthorized (text/plain), TKN:a8 dd ec fa 8c 6d d0 fb, /secret"
"9659","329.706603602","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:6332, 4.05 Method Not Allowed (text/plain), TKN:92 d6 1f 34 ba 39 1d 9b, /location-query"
"9711","335.777598795","134.102.218.18","10.0.2.15","CoAP","111","ACK, MID:64172, 2.05 Content, TKN:8d 34 ca 9f 96 2e 4b 8f, /location1"
"9799","339.524066135","127.0.0.1","127.0.0.1","CoAP","62","ACK, MID:65076, 2.05 Content, TKN:5c 9f e5 99 51 dd 85 6f, /living_room/temperature"
"9809","341.670518112","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:20749, 4.04 Not Found, TKN:86 f0 81 3e af cf af b0, /dining_room"
"9821","341.774959520","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:36597, 4.05 Method Not Allowed (text/plain), TKN:35 67 03 7a a0 38 a2 40, /location1"
"9825","341.792357270","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:50530, 4.05 Method Not Allowed, TKN:18 78 8d 5a 46 5f e1 3a, /living_room/temperature"
"9945","349.719943902","134.102.218.18","10.0.2.15","CoAP","63","ACK, MID:61114, 2.05 Content (text/plain), TKN:c4 91 70 66 bb 68 09 c6, /hello"
"9946","349.730766772","134.102.218.18","10.0.2.15","CoAP","198","ACK, MID:63075, 2.05 Content, TKN:c1 31 51 b2 d9 91 ea 58, Block #0, /3"
"9958","349.775051713","134.102.218.18","10.0.2.15","CoAP","111","ACK, MID:63076, 2.05 Content, TKN:c1 31 51 b2 d9 91 ea 58, End of Block #1, /3"
"10008","355.790022117","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:15740, 4.04 Not Found, TKN:10 0d 38 7a 7d e9 0c 75, /basic"
"10065","358.584789785","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:38429, 4.05 Method Not Allowed (text/plain), TKN:fa 3c 56 ca 90 a5 fb f3, /weird333"
"10099","362.722883806","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:43578, 4.04 Not Found, TKN:91 9d 1c d0 c0 d8 21 56, /living_room"
"10220","370.733001446","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:59182, 2.05 Content, TKN:99 d7 09 b6 25 cb ae 14, /hello_post"
"10295","374.717245874","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:17250, 2.05 Content, TKN:a7 a3 1b 5c 46 33 7b ba, /hello_post"
"10347","377.555602683","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:23453, 4.04 Not Found, TKN:72 d4 4d 84 25 ce da 17, /main_door"
"10361","378.618173396","134.102.218.18","10.0.2.15","CoAP","64","ACK, MID:63357, 2.04 Changed (text/plain), TKN:64 4d 68 49 60 68 96 a1, /sink"
"10419","384.565622682","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:51213, 4.05 Method Not Allowed, TKN:ca 3f 23 61 58 66 02 c1, /hello_world"
"10445","385.768880739","134.102.218.18","10.0.2.15","CoAP","67","ACK, MID:13410, 2.02 Deleted (text/plain), TKN:bc f4 3b 6f 9b d3 dc 3e, /test"
"10632","394.616383727","134.102.218.18","10.0.2.15","CoAP","67","ACK, MID:62992, 4.04 Not Found (text/plain), TKN:74 59 ec 11 ab 5c 91 95, /weird"
"10785","406.730775537","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:40309, 4.05 Method Not Allowed, TKN:b2 5d fb 4b 56 d2 f1 24, /hello_world"
"10793","407.831816637","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:27412, 4.05 Method Not Allowed, TKN:dd 02 50 2c e1 ce 9c 96, /hello_world"
"10809","408.591062432","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:17413, 4.04 Not Found, TKN:fc 11 4b e6 45 07 03 e7, /basic"
"10864","409.777636225","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:8520, 4.05 Method Not Allowed, TKN:e0 aa c2 8c a2 4b 96 f3, /dining_room/temperature"
"11001","421.795859210","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:40890, 2.04 Changed, TKN:34 1b d3 9f e0 bf 88 dd, /hello_post"
"11030","425.987736781","134.102.218.18","10.0.2.15","CoAP","92","ACK, MID:40712, 2.05 Content (text/plain), TKN:4d 09 6f b3 aa 6d 88 ae, /weird33"
"11079","427.821688374","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:63448, 4.04 Not Found, TKN:16 8a b5 46 1a 44 fd 09, /dining_room/door"
"11085","428.037674546","134.102.218.18","10.0.2.15","CoAP/JSON","171","ACK, MID:57605, 2.05 Content, JSON (application/json), TKN:34 a2 af fc 11 a6 c9 f7, /4"
"11087","428.091597371","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:25747, 4.05 Method Not Allowed, TKN:62 1c 31 3a 75 5a af f4, /basic"
"11091","428.803381001","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:18684, 4.05 Method Not Allowed, TKN:b7 b6 17 0d 45 1f cd 6a, /living_room/temperature"
"11148","430.772263070","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:42367, 4.04 Not Found, TKN:9f 24 5c 7f 4e 46 d7 85, /main_door"
"11182","434.908906150","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:36183, 4.05 Method Not Allowed (text/plain), TKN:36 bb 78 21 cf 13 0b 18, /4"
"11331","445.664479237","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:49535, 4.04 Not Found, TKN:59 30 36 96 be 86 79 45, /living_room/door"
"11404","446.962994160","134.102.218.18","10.0.2.15","CoAP","64","ACK, MID:16715, 2.04 Changed (text/plain), TKN:8c 52 e6 51 52 80 5e a6, /test"
"11444","450.624579405","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:41830, 4.04 Not Found, TKN:a9 19 3d 83 1f 5f 04 b8, /basic"
"11450","451.629521471","127.0.0.1","127.0.0.1","CoAP","172","ACK, MID:33254, 2.05 Content, TKN:5d e5 ab 9a 72 f8 9e 8c, /.well-known/core"
"11517","453.946412691","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:22157, 4.05 Method Not Allowed (text/plain), TKN:a2 8b 79 95 88 c7 c6 76, /location-query"
"11531","454.704846102","134.102.218.18","10.0.2.15","CoAP/JSON","96","ACK, MID:64926, 2.05 Content, JSON (application/json), TKN:4e 37 be d0 e5 5f 9f 52, /5"
"11689","465.782926098","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:50277, 4.05 Method Not Allowed, TKN:92 f8 af df 8e 1c 4b 23"
"11715","468.611090270","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:14285, 2.05 Content, TKN:59 56 96 0f 91 71 c0 6c, /hello_post"
"11911","478.911365136","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:25650, 4.05 Method Not Allowed, TKN:f8 d0 af cd 75 8a a3 b1, /hello_world"
"11923","479.926407787","134.102.218.18","10.0.2.15","CoAP","73","ACK, MID:31400, 2.05 Content (text/plain), TKN:17 4e ef 94 05 91 05 7b, /multi-format"
"11935","480.441067578","127.0.0.1","127.0.0.1","CoAP/JSON","121","ACK, MID:51085, 2.05 Content, JSON (application/json), TKN:a7 e9 b7 f5 53 44 38 35, /dining_room/temperature"
"11994","486.729372635","134.102.218.18","10.0.2.15","CoAP","73","ACK, MID:19509, 2.05 Content (text/plain), TKN:1b ee 9f 34 d4 3d e0 b0, /multi-format"
"12043","490.927747789","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:41147, 4.05 Method Not Allowed (text/plain), TKN:95 ab d5 75 e2 cc 4d 4a, /broken"
"12047","490.980505045","134.102.218.18","10.0.2.15","CoAP","92","ACK, MID:61658, 2.05 Content (text/plain), TKN:e0 15 8f 1e 4e be 08 f3, /weird33"
"12068","493.841746644","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:57343, 4.04 Not Found, TKN:7c 96 41 21 37 39 b1 cc"
"12084","494.704571319","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:45780, 4.05 Method Not Allowed (text/plain), TKN:6f 80 20 4e ef b9 b2 11, /5"
"12161","502.978982230","127.0.0.1","127.0.0.1","CoAP","64","ACK, MID:45293, 2.05 Content, TKN:cc 0e 57 c6 3e e5 c4 3a, /living_room/temperature"
"12181","505.317161837","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:375, Empty Message"
"12215","506.692044716","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:60377, 2.05 Content, TKN:01 a5 81 b6 e3 e3 b8 e9, /hello_post"
"12288","508.902165002","134.102.218.18","10.0.2.15","CoAP","92","ACK, MID:10649, 2.05 Content (text/plain), TKN:6b cf 74 5f a2 0c af 12, /weird33"
"12304","510.706035731","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:376, Empty Message"
"12308","510.845510650","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:20072, 4.05 Method Not Allowed, TKN:b8 b4 91 a2 f5 16 47 dc, /test"
"12361","514.075265817","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:377, Empty Message"
"12365","514.769174880","134.102.218.18","10.0.2.15","CoAP","83","ACK, MID:37441, 4.05 Method Not Allowed (text/plain), TKN:e9 4f 62 3c 4e 89 b2 c7, /weird44"
"12431","519.053019809","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:378, Empty Message"
"12449","519.715381425","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:11183, 4.05 Method Not Allowed, TKN:f7 c5 55 b1 7e 49 6f 56, /dining_room"
"12471","522.940413232","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:379, Empty Message"
"12560","526.846541340","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:380, Empty Message"
"12564","527.962772870","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:18020, 4.04 Not Found, TKN:7a c4 c3 02 0c f0 3c 6a"
"12566","528.866223635","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:24528, 4.04 Not Found, TKN:01 cd cd 08 db 74 c0 66, /dining_room/door"
"12568","528.946268493","127.0.0.1","127.0.0.1","CoAP","62","ACK, MID:9962, 2.05 Content, TKN:20 5d af c4 7e 11 f8 87, /living_room/temperature"
"12590","530.876750491","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:3727, 4.05 Method Not Allowed, TKN:16 29 9c 1d e7 f8 99 d7, /basic"
"12592","530.960070080","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:381, Empty Message"
"12665","536.073963270","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:382, Empty Message"
"12706","539.738970081","127.0.0.1","127.0.0.1","CoAP","56","ACK, MID:30329, 4.05 Method Not Allowed, TKN:b9 3b 66 c8 7b 12 0b 66, /hello_world"
"12722","540.295508192","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:384, Empty Message"
"12742","543.584278885","127.0.0.1","127.0.0.1","CoAP","48","ACK, MID:385, Empty Message"
