"No.","Time","Source","Destination","Protocol","Length","Info"
"66","0.404168588","127.0.0.1","127.0.0.1","CoAP","67","CON, MID:62422, PUT, TKN:12 a7 e7 28 fd 99 0c a5, /hello_post"
"4566","48.283437012","10.0.2.15","134.102.218.18","CoAP","61","CON, MID:47966, PUT, TKN:3b f2 2b 42 c1 e5 a1 91, /sink"
"4747","59.358597286","10.0.2.15","134.102.218.18","CoAP","61","CON, MID:51725, PUT, TKN:d4 05 67 28 cc e3 e4 b9, /seg1"
"5090","81.281220932","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:63856, PUT, TKN:3f 05 e8 56 42 71 f5 d1, /weird55"
"5970","120.454709683","127.0.0.1","127.0.0.1","CoAP","62","CON, MID:30549, PUT, TKN:58 52 18 be bb fb 0e 63, /basic"
"6292","132.431648144","127.0.0.1","127.0.0.1","CoAP","68","CON, MID:42606, PUT, TKN:10 3c ee 30 eb b6 62 b6, /living_room"
"6640","150.437961631","127.0.0.1","127.0.0.1","CoAP","56","CON, MID:17886, PUT, TKN:72 a5 b8 40 c7 f4 08 45"
"6725","156.432747756","127.0.0.1","127.0.0.1","CoAP","73","CON, MID:7773, PUT, TKN:9b e6 70 9d 82 05 8e fc, /dining_room/door"
"6997","179.591638314","127.0.0.1","127.0.0.1","CoAP","56","CON, MID:736, PUT, TKN:59 f2 74 1d 57 37 9b 54"
"7773","225.622116744","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:28579, PUT, TKN:02 2e ed bc d0 65 74 e8, /weird44"
"8019","241.497831602","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:15245, PUT, TKN:12 c3 a3 55 1f 02 e5 61, /weird44"
"8287","256.571556768","127.0.0.1","127.0.0.1","CoAP","66","CON, MID:29978, PUT, TKN:78 58 9c d0 0c c1 f6 73, /main_door"
"8362","261.448256688","10.0.2.15","134.102.218.18","CoAP","63","CON, MID:276, PUT, TKN:9a f9 81 fe d3 ea fb 9d, /secret"
"8368","261.575677345","127.0.0.1","127.0.0.1","CoAP","80","CON, MID:20520, PUT, TKN:9f 43 d8 0a 1f a8 24 49, /living_room/temperature"
"9100","296.627894085","127.0.0.1","127.0.0.1","CoAP","56","CON, MID:15698, PUT, TKN:d7 db 48 b0 78 93 5a 67"
"9320","304.672633300","127.0.0.1","127.0.0.1","CoAP","62","CON, MID:53777, PUT, TKN:45 ca c1 5b ab f2 da 2c, /basic"
"9370","308.632831307","127.0.0.1","127.0.0.1","CoAP","61","CON, MID:31613, PUT, TKN:3d 9b af ce 46 41 52 c9, /test"
"9808","341.669570149","127.0.0.1","127.0.0.1","CoAP","68","CON, MID:20749, PUT, TKN:86 f0 81 3e af cf af b0, /dining_room"
"9820","341.732607809","10.0.2.15","134.102.218.18","CoAP","66","CON, MID:36597, PUT, TKN:35 67 03 7a a0 38 a2 40, /location1"
"10062","358.536162296","10.0.2.15","134.102.218.18","CoAP","65","CON, MID:38429, PUT, TKN:fa 3c 56 ca 90 a5 fb f3, /weird333"
"10356","378.575964306","10.0.2.15","134.102.218.18","CoAP","61","CON, MID:63357, PUT, TKN:64 4d 68 49 60 68 96 a1, /sink"
"10792","407.830936149","127.0.0.1","127.0.0.1","CoAP","68","CON, MID:27412, PUT, TKN:dd 02 50 2c e1 ce 9c 96, /hello_world"
"11000","421.795263082","127.0.0.1","127.0.0.1","CoAP","67","CON, MID:40890, PUT, TKN:34 1b d3 9f e0 bf 88 dd, /hello_post"
"11175","434.865841541","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:36183, PUT, TKN:36 bb 78 21 cf 13 0b 18, /4"
"11403","446.920195792","10.0.2.15","134.102.218.18","CoAP","61","CON, MID:16715, PUT, TKN:8c 52 e6 51 52 80 5e a6, /test"
"11443","450.623824739","127.0.0.1","127.0.0.1","CoAP","62","CON, MID:41830, PUT, TKN:a9 19 3d 83 1f 5f 04 b8, /basic"
"12083","494.661601678","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:45780, PUT, TKN:6f 80 20 4e ef b9 b2 11, /5"
"12364","514.726606347","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:37441, PUT, TKN:e9 4f 62 3c 4e 89 b2 c7, /weird44"
"13156","568.991003066","127.0.0.1","127.0.0.1","CoAP","68","CON, MID:52719, PUT, TKN:90 ba 9c 68 c9 11 02 22, /living_room"
"13242","574.779277426","10.0.2.15","134.102.218.18","CoAP","62","CON, MID:16441, PUT, TKN:93 60 6d 2b c7 9b 7a 7d, /weird"
"13456","591.786016989","10.0.2.15","134.102.218.18","CoAP","62","CON, MID:2904, PUT, TKN:72 56 2b 4a fe df 15 3e, /query"
"13481","593.970378160","10.0.2.15","134.102.218.18","CoAP","61","CON, MID:36993, PUT, TKN:f3 fc 60 e5 0d b2 76 5a, /seg1"
"13487","594.183075235","10.0.2.15","134.102.218.18","CoAP","62","CON, MID:2904, PUT, TKN:72 56 2b 4a fe df 15 3e, /query [Retransmission]"
"13543","598.979163504","10.0.2.15","134.102.218.18","CoAP","62","CON, MID:2904, PUT, TKN:72 56 2b 4a fe df 15 3e, /query [Retransmission]"
"13637","606.809045638","127.0.0.1","127.0.0.1","CoAP","68","CON, MID:6551, PUT, TKN:24 cd 69 82 b5 50 8e 40, /hello_world"
"13662","608.578507793","10.0.2.15","134.102.218.18","CoAP","62","CON, MID:2904, PUT, TKN:72 56 2b 4a fe df 15 3e, /query [Retransmission]"
"13675","609.808280799","127.0.0.1","127.0.0.1","CoAP","56","CON, MID:61545, PUT, TKN:57 0a 2e cd b7 2f 3f 2b"
"13826","620.566098890","127.0.0.1","127.0.0.1","CoAP","84","CON, MID:6589, PUT, TKN:ab e6 91 f7 0f a1 95 16, /living_room/temperature"
"13840","621.546475735","127.0.0.1","127.0.0.1","CoAP","84","CON, MID:30759, PUT, TKN:29 07 14 8f b1 68 ab f8, /living_room/temperature"
"13846","621.960299021","127.0.0.1","127.0.0.1","CoAP","84","CON, MID:8393, PUT, TKN:a2 98 b9 3e 59 cd 04 a3, /living_room/temperature"
"13850","622.546404269","127.0.0.1","127.0.0.1","CoAP","84","CON, MID:14342, PUT, TKN:3f 2a 9e 16 d0 f4 93 14, /living_room/temperature"
"13883","623.071715334","127.0.0.1","127.0.0.1","CoAP","84","CON, MID:7805, PUT, TKN:39 2d 04 3b ec 68 bd f4, /living_room/temperature"
"13893","623.426307581","127.0.0.1","127.0.0.1","CoAP","84","CON, MID:21174, PUT, TKN:d0 16 db 46 b3 51 0c a4, /living_room/temperature"
"13895","623.785089795","127.0.0.1","127.0.0.1","CoAP","84","CON, MID:25946, PUT, TKN:ea 64 2b 05 bf fc 55 80, /living_room/temperature"
"14048","636.016454864","127.0.0.1","127.0.0.1","CoAP","62","CON, MID:2135, PUT, TKN:4a e5 b4 8a 0b 77 de 72, /basic"
