"No.","Time","Source","Destination","Protocol","Length","Info"
"66","0.404168588","127.0.0.1","127.0.0.1","CoAP","67","CON, MID:62422, PUT, TKN:12 a7 e7 28 fd 99 0c a5, /hello_post"
"69","0.406355400","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:26798, DELETE, TKN:4f 80 0c 96 66 39 43 cd, /5"
"511","6.203682221","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:27951, DELETE, TKN:53 5b 38 4c f9 91 30 ac, /4"
"3709","26.313406784","10.0.2.15","134.102.218.18","CoAP","69","CON, MID:33247, POST, TKN:2c b6 43 60 bc 47 68 1c, /large-create"
"4342","39.260084625","10.0.2.15","134.102.218.18","CoAP","63","CON, MID:26427, DELETE, TKN:74 04 23 28 32 00 e9 73, /broken"
"4470","43.269910455","127.0.0.1","127.0.0.1","CoAP","66","CON, MID:48566, DELETE, TKN:69 17 13 95 08 57 cb de, /main_door"
"4473","43.297982048","10.0.2.15","134.102.218.18","CoAP","65","CON, MID:20240, DELETE, TKN:a1 71 73 e0 f1 89 b1 af, /separate"
"4566","48.283437012","10.0.2.15","134.102.218.18","CoAP","61","CON, MID:47966, PUT, TKN:3b f2 2b 42 c1 e5 a1 91, /sink"
"4608","50.326555756","10.0.2.15","134.102.218.18","CoAP","61","CON, MID:7018, POST, TKN:1e 6d 72 c3 88 f0 94 fd, /sink"
"4632","52.342998261","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:10541, GET, TKN:c6 f7 42 35 d5 99 8a 9a, /3"
"4638","52.387558740","10.0.2.15","134.102.218.18","CoAP","60","CON, MID:10542, GET, TKN:c6 f7 42 35 d5 99 8a 9a, Block #1, /3"
"4747","59.358597286","10.0.2.15","134.102.218.18","CoAP","61","CON, MID:51725, PUT, TKN:d4 05 67 28 cc e3 e4 b9, /seg1"
"4764","61.294061991","10.0.2.15","134.102.218.18","CoAP","66","CON, MID:41043, DELETE, TKN:e2 92 16 2f 7c 5d 8f 41, /location1"
"4779","62.405142503","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:42177, GET, TKN:1f 87 7c 78 77 86 98 e3, /weird44"
"5011","77.344988304","127.0.0.1","127.0.0.1","CoAP","68","CON, MID:49581, POST, TKN:9c 60 12 5e 68 51 6d f2, /living_room"
"5013","77.366529058","127.0.0.1","127.0.0.1","CoAP","66","CON, MID:19648, GET, TKN:0f 59 12 cf e7 e6 b0 46, /main_door"
