"No.","Time","Source","Destination","Protocol","Length","Info"
"4632","52.342998261","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:10541, GET, TKN:c6 f7 42 35 d5 99 8a 9a, /3"
"4638","52.387558740","10.0.2.15","134.102.218.18","CoAP","60","CON, MID:10542, GET, TKN:c6 f7 42 35 d5 99 8a 9a, Block #1, /3"
"4779","62.405142503","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:42177, GET, TKN:1f 87 7c 78 77 86 98 e3, /weird44"
"5534","100.290593651","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:54140, GET, TKN:95 b2 73 fe 7d f4 93 70, /4"
"7633","216.561919074","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:44934, GET, TKN:1d ba f2 b5 33 a1 25 05, /3"
"7637","216.613529463","10.0.2.15","134.102.218.18","CoAP","60","CON, MID:44935, GET, TKN:1d ba f2 b5 33 a1 25 05, Block #1, /3"
"7714","221.718378719","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:23556, GET, TKN:cd 19 ee 82 79 f5 97 2e, /3"
"7723","221.764491356","10.0.2.15","134.102.218.18","CoAP","60","CON, MID:23557, GET, TKN:cd 19 ee 82 79 f5 97 2e, Block #1, /3"
"8105","249.587086809","10.0.2.15","134.102.218.18","CoAP","62","CON, MID:49271, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, /large"
"8113","249.635860053","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49272, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #1, /large"
"8122","249.680016675","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49273, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #2, /large"
"8129","249.724690005","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49274, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #3, /large"
"8140","249.771121019","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49275, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #4, /large"
"8146","249.815356562","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49276, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #5, /large"
"8156","249.860365805","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49277, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #6, /large"
"8163","249.903409359","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49278, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #7, /large"
"8172","249.947085420","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49279, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #8, /large"
"8179","249.990178055","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49280, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #9, /large"
"8188","250.035417729","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49281, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #10, /large"
"8195","250.079456638","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49282, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #11, /large"
"8201","250.123268259","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49283, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #12, /large"
"8209","250.167425808","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:49284, GET, TKN:d8 b3 4c 4c 45 1e 53 3f, Block #13, /large"
"8760","285.474171324","10.0.2.15","134.102.218.18","CoAP","65","CON, MID:56553, GET, TKN:f0 3c b9 1d 7b c3 b6 a6, /validate"
"9650","329.537075222","10.0.2.15","134.102.218.18","CoAP","63","CON, MID:38178, GET, TKN:a8 dd ec fa 8c 6d d0 fb, /secret"
"9658","329.663605041","10.0.2.15","134.102.218.18","CoAP","72","CON, MID:6332, GET, TKN:92 d6 1f 34 ba 39 1d 9b, /location-query"
"9709","335.734947639","10.0.2.15","134.102.218.18","CoAP","66","CON, MID:64172, GET, TKN:8d 34 ca 9f 96 2e 4b 8f, /location1"
"9922","349.677023821","10.0.2.15","134.102.218.18","CoAP","62","CON, MID:61114, GET, TKN:c4 91 70 66 bb 68 09 c6, /hello"
"9932","349.688916333","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:63075, GET, TKN:c1 31 51 b2 d9 91 ea 58, /3"
"9949","349.732923307","10.0.2.15","134.102.218.18","CoAP","60","CON, MID:63076, GET, TKN:c1 31 51 b2 d9 91 ea 58, Block #1, /3"
"10631","394.573641063","10.0.2.15","134.102.218.18","CoAP","62","CON, MID:62992, GET, TKN:74 59 ec 11 ab 5c 91 95, /weird"
"11029","425.943850418","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:40712, GET, TKN:4d 09 6f b3 aa 6d 88 ae, /weird33"
"11084","427.991118560","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:57605, GET, TKN:34 a2 af fc 11 a6 c9 f7, /4"
"11530","454.660836622","10.0.2.15","134.102.218.18","CoAP","58","CON, MID:64926, GET, TKN:4e 37 be d0 e5 5f 9f 52, /5"
"11922","479.884084267","10.0.2.15","134.102.218.18","CoAP","69","CON, MID:31400, GET, TKN:17 4e ef 94 05 91 05 7b, /multi-format"
"11993","486.686391985","10.0.2.15","134.102.218.18","CoAP","69","CON, MID:19509, GET, TKN:1b ee 9f 34 d4 3d e0 b0, /multi-format"
"12046","490.937871656","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:61658, GET, TKN:e0 15 8f 1e 4e be 08 f3, /weird33"
"12287","508.858553277","10.0.2.15","134.102.218.18","CoAP","64","CON, MID:10649, GET, TKN:6b cf 74 5f a2 0c af 12, /weird33"
"12998","557.764296541","10.0.2.15","134.102.218.18","CoAP","62","CON, MID:60217, GET, TKN:b6 bb 5b 59 d0 43 c9 14, /weird"
"13202","572.913069800","10.0.2.15","134.102.218.18","CoAP","61","CON, MID:54342, GET, TKN:61 41 33 79 50 eb 47 ab, /sink"
