"No.","Time","Source","Destination","Protocol","Length","Info"
"2615","13.580658025","10.0.2.15","134.102.218.18","CoAP","65","NON, MID:48681, GET, TKN:b1 83 ff cd 5c 5a fe 5e, /weird333"
"4423","41.279854134","10.0.2.15","134.102.218.18","CoAP","58","NON, MID:63323, GET, TKN:db 73 87 93 f8 cd 51 01, /4"
"4879","68.301663441","10.0.2.15","134.102.218.18","CoAP","61","NON, MID:62249, GET, TKN:d6 23 4e 30 74 39 19 4a, /sink"
"5854","116.318493203","10.0.2.15","134.102.218.18","CoAP","62","NON, MID:55055, GET, TKN:cc 7d da 66 1d cc 64 f2, /weird"
"6366","136.444137744","127.0.0.1","127.0.0.1","CoAP","73","NON, MID:28295, GET, TKN:7e 56 5d 2a f6 c4 c3 8a, /dining_room/door"
"7015","181.456899856","10.0.2.15","134.102.218.18","CoAP","63","NON, MID:20922, GET, TKN:d0 84 02 fe b1 88 c8 31, /broken"
"7437","204.646067414","127.0.0.1","127.0.0.1","CoAP","66","NON, MID:29028, GET, TKN:5f 1c 51 15 72 e3 94 25, /main_door"
"7894","233.429340838","127.0.0.1","127.0.0.1","CoAP","73","NON, MID:61402, GET, TKN:8b ba 6f 66 47 2d b8 04, /dining_room/door"
"8078","246.589469815","127.0.0.1","127.0.0.1","CoAP","67","NON, MID:52196, GET, TKN:23 fd 66 4a c4 d3 84 ed, /hello_post"
"8108","249.588629516","10.0.2.15","134.102.218.18","CoAP","62","NON, MID:53322, GET, TKN:ff 2e e2 9a 0a d1 2d be, /large"
"8116","249.636959280","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53323, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #1, /large"
"8124","249.680326633","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53324, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #2, /large"
"8132","249.725481783","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53325, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #3, /large"
"8139","249.770329950","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53326, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #4, /large"
"8148","249.815786120","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53327, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #5, /large"
"8155","249.859792517","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53328, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #6, /large"
"8164","249.903506911","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53329, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #7, /large"
"8170","249.946557086","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53330, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #8, /large"
"8180","249.990406864","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53331, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #9, /large"
"8187","250.034933919","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53332, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #10, /large"
"8196","250.079561048","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53333, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #11, /large"
"8204","250.123995030","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53334, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #12, /large"
"8212","250.167669259","10.0.2.15","134.102.218.18","CoAP","64","NON, MID:53335, GET, TKN:ff 2e e2 9a 0a d1 2d be, Block #13, /large"
"8428","268.634297148","10.0.2.15","134.102.218.18","CoAP","65","NON, MID:17794, GET, TKN:ad 4c cd cc 21 9b 38 18, /weird333"
"8479","270.465265456","127.0.0.1","127.0.0.1","CoAP","68","NON, MID:24278, GET, TKN:09 54 fd be 05 a6 88 64, /living_room"
"8790","286.468874817","127.0.0.1","127.0.0.1","CoAP","73","NON, MID:23057, GET, TKN:10 d9 62 11 c9 f3 8d d4, /living_room/door"
"8950","292.511089481","127.0.0.1","127.0.0.1","CoAP","80","NON, MID:29104, GET, TKN:87 c5 b3 f0 81 25 b5 20, /dining_room/temperature"
"9298","303.492928133","127.0.0.1","127.0.0.1","CoAP","56","NON, MID:11124, GET, TKN:6f 05 f5 86 0e 03 53 a7"
"9504","321.517616423","10.0.2.15","134.102.218.18","CoAP","65","NON, MID:63767, GET, TKN:cd 03 3c 58 6a 63 84 22, /validate"
"9702","335.528417416","127.0.0.1","127.0.0.1","CoAP","61","NON, MID:54667, GET, TKN:db ca d1 1a ce d0 0e 90, /test"
"10120","364.785231878","127.0.0.1","127.0.0.1","CoAP","80","NON, MID:39439, GET, TKN:e1 01 55 2e 02 9b b8 9e, /dining_room/temperature"
