"No.","Time","Source","Destination","Protocol","Length","Info"
"121","1.083118347","::1","::1","MQTT","136","Subscribe Request (id=1) [university/department12/room1/temperature]"
"132","1.113094871","10.0.2.15","18.192.151.104","MQTT","87","Subscribe Request (id=1) [house/department3/floor0]"
"154","2.082593293","::1","::1","MQTT","136","Subscribe Request (id=1) [university/department12/room1/temperature]"
"155","2.082587507","::1","::1","MQTT","135","Subscribe Request (id=1) [metaverse/department3/section0/pollution]"
"190","2.110378817","10.0.2.15","18.192.151.104","MQTT","77","Subscribe Request (id=1) [factory/room0]"
"192","2.113918626","10.0.2.15","18.192.151.104","MQTT","96","Subscribe Request (id=2) [university/building2/floor0/light]"
"228","3.087240982","::1","::1","MQTT","118","Subscribe Request (id=1) [university/fxlugs/room1]"
"277","3.110937739","10.0.2.15","18.192.151.104","MQTT","83","Subscribe Request (id=2) [metaverse/building2]"
"279","3.115807239","10.0.2.15","18.192.151.104","MQTT","80","Subscribe Request (id=3) [factory/building2]"
"304","4.097040463","::1","::1","MQTT","136","Subscribe Request (id=1) [university/department12/room1/temperature]"
"312","4.103392541","::1","::1","MQTT","117","Subscribe Request (id=2) [university/department3]"
"316","4.103557104","::1","::1","MQTT","110","Subscribe Request (id=2) [house/building2]"
"326","4.117713911","10.0.2.15","18.192.151.104","MQTT","88","Subscribe Request (id=4) [hospital/facility0/floor0]"
"356","5.089853407","::1","::1","MQTT","115","Subscribe Request (id=3) [university/facility0]"
"362","5.106595370","::1","::1","MQTT","116","Subscribe Request (id=3) [metaverse/department3]"
"383","5.151154778","10.0.2.15","18.192.151.104","MQTT","88","Subscribe Request (id=1) [hospital/facility0/floor0]"
"488","6.106750118","::1","::1","MQTT","120","Subscribe Request (id=3) [factory/department3/room1]"
"501","6.114932092","10.0.2.15","18.192.151.104","MQTT","81","Subscribe Request (id=4) [university/fxlugs]"
"566","7.100808048","::1","::1","MQTT","112","Subscribe Request (id=4) [metaverse/fxlugs]"
"569","7.102517118","::1","::1","MQTT","112","Subscribe Request (id=1) [house/room0/area0]"
"574","7.107052527","::1","::1","MQTT","132","Subscribe Request (id=5) [university/room0/section0/temperature]"
"583","7.117352902","10.0.2.15","18.192.151.104","MQTT","86","Subscribe Request (id=5) [metaverse/fxlugs/area0]"
"585","7.121202216","10.0.2.15","18.192.151.104","MQTT","100","Subscribe Request (id=6) [metaverse/room0/room1/hydraulic_valve]"
"587","7.123148386","10.0.2.15","18.192.151.104","MQTT","97","Subscribe Request (id=1) [house/room0/floor0/hydraulic_valve]"
"589","7.152708125","10.0.2.15","18.192.151.104","MQTT","79","Subscribe Request (id=2) [university/room0]"
"629","8.109074300","::1","::1","MQTT","128","Subscribe Request (id=5) [factory/fxlugs/section0/pollution]"
"630","8.109139506","::1","::1","MQTT","112","Subscribe Request (id=6) [house/department3]"
"631","8.109532963","::1","::1","MQTT","110","Subscribe Request (id=5) [hospital/fxlugs]"
"638","8.124139696","10.0.2.15","18.192.151.104","MQTT","87","Subscribe Request (id=2) [factory/facility0/floor0]"
"689","9.101062415","::1","::1","MQTT","113","Subscribe Request (id=5) [factory/building2]"
"694","9.103623384","::1","::1","MQTT","114","Subscribe Request (id=2) [factory/department3]"
"705","9.123268559","10.0.2.15","18.192.151.104","MQTT","84","Subscribe Request (id=7) [metaverse/department3]"
"707","9.154447741","10.0.2.15","18.192.151.104","MQTT","91","Subscribe Request (id=3) [house/room0/floor0/pollution]"
"1174","10.110242880","::1","::1","MQTT","121","Subscribe Request (id=7) [house/room0/area0/humidity]"
"1218","10.121906143","10.0.2.15","18.192.151.104","MQTT","89","Subscribe Request (id=7) [university/room0/section0]"
"1228","10.126138189","10.0.2.15","18.192.151.104","MQTT","103","Subscribe Request (id=3) [house/facility0/section0/hydraulic_valve]"
"1773","11.101273432","::1","::1","MQTT","110","Subscribe Request (id=8) [house/building2]"
"1776","11.103183884","::1","::1","MQTT","125","Subscribe Request (id=7) [factory/fxlugs/floor0/deposit]"
"1794","11.131901971","10.0.2.15","18.192.151.104","MQTT","87","Subscribe Request (id=4) [house/department3/floor0]"
"1798","11.173829237","10.0.2.15","18.192.151.104","MQTT","90","Subscribe Request (id=4) [metaverse/department3/area0]"
"1911","12.105713807","::1","::1","MQTT","122","Subscribe Request (id=8) [factory/department3/floor0]"
"1916","12.116762393","::1","::1","MQTT","110","Subscribe Request (id=7) [house/facility0]"
"1927","12.136459381","10.0.2.15","18.192.151.104","MQTT","86","Subscribe Request (id=9) [hospital/room0/section0]"
"2327","13.118500516","::1","::1","MQTT","138","Subscribe Request (id=9) [university/building2/floor0/hydraulic_valve]"
"2400","13.133544285","10.0.2.15","18.192.151.104","MQTT","81","Subscribe Request (id=9) [house/department3]"
"2401","13.133643882","10.0.2.15","18.192.151.104","MQTT","74","Subscribe Request (id=5) [house/room0]"
"2743","14.141699555","::1","::1","MQTT","112","Subscribe Request (id=9) [factory/facility0]"
"2744","14.141816465","::1","::1","MQTT","120","Subscribe Request (id=10) [metaverse/room0/section0]"
"2752","14.152450320","10.0.2.15","18.192.151.104","MQTT","79","Subscribe Request (id=10) [university/room0]"
"2898","15.125303707","::1","::1","MQTT","131","Subscribe Request (id=9) [university/building2/room1/pollution]"
"2903","15.136226858","10.0.2.15","18.192.151.104","MQTT","88","Subscribe Request (id=10) [metaverse/room0/section0]"
"2907","15.143292537","::1","::1","MQTT","130","Subscribe Request (id=11) [house/building2/floor0/temperature]"
"2916","15.188245223","10.0.2.15","18.192.151.104","MQTT","93","Subscribe Request (id=11) [hospital/facility0/area0/light]"
"2918","15.189627067","10.0.2.15","18.192.151.104","MQTT","88","Subscribe Request (id=6) [university/room0/section0]"
"2984","16.134486664","::1","::1","MQTT","113","Subscribe Request (id=10) [hospital/building2]"
"2985","16.134548167","::1","::1","MQTT","124","Subscribe Request (id=11) [university/facility0/section0]"
"2992","16.144986046","::1","::1","MQTT","127","Subscribe Request (id=10) [house/department3/area0/humidity]"
"3005","16.191318886","10.0.2.15","18.192.151.104","MQTT","100","Subscribe Request (id=7) [university/room0/section0/temperature]"
"3059","17.135795679","::1","::1","MQTT","130","Subscribe Request (id=11) [metaverse/facility0/room1/pollution]"
"3061","17.139467694","10.0.2.15","18.192.151.104","MQTT","87","Subscribe Request (id=7) [house/facility0/section0]"
"3066","17.145518474","::1","::1","MQTT","111","Subscribe Request (id=11) [metaverse/fxlugs]"
"3067","17.145568764","::1","::1","MQTT","117","Subscribe Request (id=7) [metaverse/fxlugs/area0]"
"3076","17.193343165","10.0.2.15","18.192.151.104","MQTT","88","Subscribe Request (id=13) [university/room0/section0]"
"3120","18.136851719","::1","::1","MQTT","128","Subscribe Request (id=12) [house/room0/area0/hydraulic_valve]"
"3130","18.147503286","::1","::1","MQTT","130","Subscribe Request (id=8) [metaverse/department3/area0/deposit]"
"3135","18.148081895","::1","::1","MQTT","115","Subscribe Request (id=13) [metaverse/building2]"
"3145","18.219727139","10.0.2.15","18.192.151.104","MQTT","75","Subscribe Request (id=8) [house/fxlugs]"
"3190","19.150433947","::1","::1","MQTT","117","Subscribe Request (id=13) [university/room0/area0]"
"3191","19.150545577","::1","::1","MQTT","129","Subscribe Request (id=13) [metaverse/fxlugs/room1/temperature]"
"3194","19.153374627","10.0.2.15","18.192.151.104","MQTT","84","Subscribe Request (id=9) [hospital/room0/floor0]"
"3199","19.153929220","::1","::1","MQTT","113","Subscribe Request (id=12) [hospital/building2]"
"3204","19.154128167","::1","::1","MQTT","113","Subscribe Request (id=14) [house/room0/area0]"
"3277","20.152619740","::1","::1","MQTT","116","Subscribe Request (id=9) [factory/fxlugs/floor0]"
"3341","21.201829497","::1","::1","MQTT","110","Subscribe Request (id=13) [house/facility0]"
"3344","21.202281053","10.0.2.15","18.192.151.104","MQTT","91","Subscribe Request (id=11) [metaverse/department3/floor0]"
"3348","21.204274045","::1","::1","MQTT","113","Subscribe Request (id=15) [factory/facility0]"
