"No.","Time","Source","Destination","Protocol","Length","Info"
"343","4.948626325","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [metaverse/department2/area3]"
"595","7.171214510","10.0.2.15","5.196.78.28","MQTT","203","Publish Message [factory/room2/room2/pollution]"
"624","8.048923704","10.0.2.15","5.196.78.28","MQTT","74","Publish Message [hospital/room2]"
"2722","13.987247322","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/building3]"
"2753","14.152768640","10.0.2.15","5.196.78.28","MQTT","203","Publish Message [hospital/room2/room2/humidity]"
"2877","14.980030200","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [hospital/room2/area3/temperature]"
"2914","15.186698287","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [factory/room2/area3]"
"2930","15.358906485","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [factory/department2]"
"2944","15.972099350","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [factory/department2/area3]"
"3026","16.301143268","10.0.2.15","5.196.78.28","MQTT","95","Publish Message [metaverse/building3/floor4/deposit]"
"3183","18.864914357","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [factory/facility3/floor4/humidity]"
"3269","20.003801916","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [metaverse/building3/room2/light]"
"3324","20.592412487","10.0.2.15","5.196.78.28","MQTT","215","Publish Message [metaverse/building3/room2/hydraulic_valve]"
"3339","21.040765873","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/building3]"
"3395","21.817688373","10.0.2.15","5.196.78.28","MQTT","95","Publish Message [metaverse/building3/room2/pollution]"
"3468","23.043735852","10.0.2.15","5.196.78.28","MQTT","81","Publish Message [metaverse/department2]"
"3770","27.008953131","10.0.2.15","5.196.78.28","MQTT","188","Publish Message [metaverse/room2]"
"3804","27.493741427","10.0.2.15","5.196.78.28","MQTT","205","Publish Message [factory/department2/floor4/light]"
"3808","27.499211846","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [factory/room2/area3]"
"3852","28.295447145","10.0.2.15","5.196.78.28","MQTT","83","Publish Message [factory/facility3/area3]"
"3900","29.403796455","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [university/room2/room2/pollution]"
"3904","29.497353870","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [factory/department2/area3]"
"4000","31.779648783","10.0.2.15","5.196.78.28","MQTT","197","Publish Message [factory/building3/floor4]"
"4016","31.855900859","10.0.2.15","5.196.78.28","MQTT","207","Publish Message [hospital/building3/room2/humidity]"
"4077","32.538581675","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [factory/room2/room2/humidity]"
"4148","34.117852241","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [university/facility3]"
"4196","35.379362212","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [factory/facility3/section1]"
"4259","37.110921421","10.0.2.15","5.196.78.28","MQTT","96","Publish Message [factory/department2/section1/deposit]"
"4347","39.332200710","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [metaverse/building3/room2]"
"4361","39.746320713","10.0.2.15","5.196.78.28","MQTT","189","Publish Message [metaverse/room2]"
"4444","42.044090077","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [university/room2/section1]"
"4466","42.943934279","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [hospital/department2]"
"4468","43.183422854","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/facility3]"
"4496","45.226772770","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/facility3]"
"4502","45.704099898","10.0.2.15","5.196.78.28","MQTT","93","Publish Message [university/building3/room2/light]"
"4508","45.975138166","10.0.2.15","5.196.78.28","MQTT","201","Publish Message [university/department2/area3]"
"4512","46.608004345","10.0.2.15","5.196.78.28","MQTT","198","Publish Message [factory/department2/area3]"
"4548","47.707638269","10.0.2.15","5.196.78.28","MQTT","202","Publish Message [university/building3/section1]"
"4610","51.047353129","10.0.2.15","5.196.78.28","MQTT","202","Publish Message [hospital/room2/room2/humidity]"
"4633","52.343451904","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [university/facility3/floor4]"
"4658","54.005752447","10.0.2.15","5.196.78.28","MQTT","91","Publish Message [metaverse/building3/area3/light]"
"4659","54.006069979","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [metaverse/building3]"
"4668","54.752556163","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [metaverse/room2/area3]"
"4680","55.828025549","10.0.2.15","5.196.78.28","MQTT","210","Publish Message [metaverse/building3/section1/deposit]"
"4690","57.451814924","10.0.2.15","5.196.78.28","MQTT","86","Publish Message [metaverse/facility3/room2]"
"4743","58.561424530","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [factory/facility3/section1]"
"4781","62.459947130","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [metaverse/building3]"
"4811","65.284077168","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [metaverse/building3/floor4]"
"4813","65.385032838","10.0.2.15","5.196.78.28","MQTT","77","Publish Message [university/room2]"
"4835","66.751474991","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [metaverse/facility3]"
"4889","68.737192823","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [hospital/department2]"
"4891","69.184754791","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [hospital/facility3/section1]"
"4895","69.778791607","10.0.2.15","5.196.78.28","MQTT","194","Publish Message [factory/department2]"
"4899","70.006548090","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [hospital/department2]"
"4931","72.739760936","10.0.2.15","5.196.78.28","MQTT","191","Publish Message [factory/facility3]"
"4933","73.185134471","10.0.2.15","5.196.78.28","MQTT","217","Publish Message [university/facility3/floor4/hydraulic_valve]"
"4953","75.211887963","10.0.2.15","5.196.78.28","MQTT","214","Publish Message [university/department2/section1/pollution]"
"4955","75.314253708","10.0.2.15","5.196.78.28","MQTT","215","Publish Message [metaverse/facility3/room2/hydraulic_valve]"
"4999","76.399530652","10.0.2.15","5.196.78.28","MQTT","206","Publish Message [university/facility3/floor4/light]"
"5019","78.204808832","10.0.2.15","5.196.78.28","MQTT","208","Publish Message [hospital/building3/area3/pollution]"
"5057","79.805194077","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [metaverse/department2]"
"5110","81.702620021","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [hospital/facility3/room2]"
"5116","82.183231485","10.0.2.15","5.196.78.28","MQTT","187","Publish Message [hospital/room2]"
"5188","83.649617878","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [university/building3/area3]"
"5238","86.179347768","10.0.2.15","5.196.78.28","MQTT","203","Publish Message [metaverse/department2/section1]"
"5275","90.538844548","10.0.2.15","5.196.78.28","MQTT","83","Publish Message [factory/building3/room2]"
"5298","91.154654185","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [hospital/department2/room2]"
"5396","92.775656605","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [factory/department2]"
"5438","93.600654688","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [university/facility3]"
"5474","96.842001374","10.0.2.15","5.196.78.28","MQTT","81","Publish Message [hospital/room2/floor4]"
"5569","101.536321277","10.0.2.15","5.196.78.28","MQTT","202","Publish Message [metaverse/department2/room2]"
"5679","105.931371025","10.0.2.15","5.196.78.28","MQTT","209","Publish Message [university/building3/area3/humidity]"
"5681","105.988623722","10.0.2.15","5.196.78.28","MQTT","80","Publish Message [factory/department2]"
